osm_id,mapillary_coverage
502482740,regular
502482741,regular
502492990,regular
502492995,regular
502773524,regular
502773527,regular
502776431,regular
502776432,regular
502941942,regular
502945196,regular
502945198,regular
504294600,regular
504294610,regular
504319572,regular
504847590,regular
504877195,regular
504877218,regular
505400372,regular
505400383,regular
505400385,regular
505400388,regular
505660028,regular
506061242,regular
506061253,regular
506254861,regular
506273608,regular
506284947,regular
502482738,regular
542471882,regular
454359568,regular
454359565,regular
427240575,regular
427240578,regular
427240579,regular
427861075,regular
427861077,regular
428019384,regular
428019385,regular
428019386,regular
428019387,regular
428020389,regular
428961394,regular
428973636,regular
427106689,regular
429172550,regular
429357719,regular
429497484,regular
429899458,regular
430368060,regular
430861888,regular
430861891,regular
430861930,regular
430861931,regular
430861932,regular
430862743,regular
430862744,regular
431443522,regular
429172552,regular
431600877,regular
427087722,regular
426400904,regular
422653454,regular
422653455,regular
422846622,regular
422846632,regular
422849098,regular
422849099,regular
424395997,regular
424396000,regular
424407401,regular
424528089,regular
424621773,regular
424621774,regular
426647571,regular
424621775,regular
424830814,regular
424830815,regular
424830816,regular
424950312,regular
424956385,regular
424970611,regular
424979550,regular
424979557,regular
425577753,regular
425634820,regular
425634823,regular
426196443,regular
424621779,regular
431600878,regular
431600879,regular
431600881,regular
438326936,regular
440937678,regular
440983986,regular
440984028,regular
441421298,regular
441730082,regular
441746402,regular
441746403,regular
441844256,regular
441844257,regular
441910343,regular
441910344,regular
437938210,regular
442107629,regular
442477378,regular
442477379,regular
442653995,regular
442656630,regular
443165786,regular
443460970,regular
444005751,regular
444189844,regular
444272960,regular
444464231,regular
444464232,regular
444464233,regular
442119202,regular
437293495,regular
437293494,regular
437293493,regular
431600882,regular
431600884,regular
431600885,regular
431600886,regular
431709761,regular
432160759,regular
432160770,regular
432160772,regular
432212652,regular
432871815,regular
433827348,regular
434860131,regular
434900315,regular
435125619,regular
435352734,regular
435521565,regular
435521566,regular
435521567,regular
435522748,regular
435522750,regular
435522836,regular
435915093,regular
435915095,regular
435917429,regular
436583092,regular
437293491,regular
437293492,regular
422653428,regular
444464234,regular
422653427,regular
422279663,regular
412963779,regular
412963780,regular
412963782,regular
412963783,regular
413118563,regular
413171516,regular
413279389,regular
413279390,regular
413279394,regular
413279395,regular
413279397,regular
413279398,regular
412963777,regular
413279399,regular
413279401,regular
413279402,regular
413279404,regular
413279405,regular
413279407,regular
413279408,regular
413279410,regular
413279411,regular
413279412,regular
413279415,regular
413279417,regular
413279418,regular
413279400,regular
413279419,regular
412963773,regular
412963769,regular
409026344,regular
409061419,regular
409115432,regular
409115433,regular
409551938,regular
409594262,regular
409594263,regular
409861733,regular
410108667,regular
410108668,regular
410357550,regular
410362076,regular
412963771,regular
410362077,regular
411774913,regular
411774914,regular
411774915,regular
411779911,regular
411779922,regular
411787809,regular
412731783,regular
412731784,regular
412731787,regular
412731789,regular
412731792,regular
412963763,regular
411471814,regular
413279420,regular
413279421,regular
413279422,regular
419337395,regular
420258524,regular
420258526,regular
420258528,regular
420258529,regular
420365929,regular
420365930,regular
420365933,regular
420776546,regular
421053847,regular
421053849,regular
421669133,regular
419051708,regular
421744445,regular
421749071,regular
421750266,regular
421758978,regular
421842033,regular
421842989,regular
421842990,regular
421853652,regular
421877293,regular
421877294,regular
421877295,regular
421879187,regular
422006673,regular
421749070,regular
419051698,regular
419051697,regular
419051696,regular
413279425,regular
413428355,regular
414002765,regular
414013317,regular
414162132,regular
414162134,regular
414162135,regular
414253267,regular
414253270,regular
414630288,regular
414844919,regular
414844921,regular
415149922,regular
415362591,regular
415362600,regular
415431467,regular
415431472,regular
416209531,regular
416209533,regular
416209535,regular
416219269,regular
416884854,regular
417940324,regular
417940325,regular
417969362,regular
417969363,regular
417969364,regular
422279665,regular
444464235,regular
444464236,regular
444464237,regular
446921086,regular
446921087,regular
446921088,regular
446921089,regular
446921090,regular
446921091,regular
446921092,regular
446921094,regular
446922843,regular
446922845,regular
446922847,regular
446991710,regular
446914751,regular
447076482,regular
447279292,regular
447279293,regular
447288839,regular
447288840,regular
447293458,regular
447293459,regular
447293460,regular
447293461,regular
447293464,regular
447293466,regular
447293467,regular
447293468,regular
447142063,regular
447293469,regular
446914750,regular
446914747,regular
446001160,regular
446001161,regular
446003651,regular
446003652,regular
446496259,regular
446496261,regular
446497249,regular
446533244,regular
446533247,regular
446533265,regular
446533269,regular
446722740,regular
446914749,regular
446722741,regular
446727282,regular
446737497,regular
446737498,regular
446737499,regular
446737500,regular
446737502,regular
446737503,regular
446896979,regular
446900569,regular
446906295,regular
446906296,regular
446914744,regular
446727281,regular
447293470,regular
447307192,regular
447307193,regular
453798640,regular
453798641,regular
453798642,regular
453798643,regular
453798646,regular
453798651,regular
453798655,regular
453798660,regular
453819040,regular
453819041,regular
453834032,regular
453834033,regular
453798639,regular
453842488,regular
453842490,regular
454061162,regular
454065887,regular
454065888,regular
454068756,regular
454068757,regular
454071633,regular
454071634,regular
454071635,regular
454071636,regular
454359563,regular
454359564,regular
453842489,regular
453786087,regular
453786086,regular
453776857,regular
447307194,regular
447307195,regular
447308987,regular
447308988,regular
447309387,regular
447394719,regular
447394720,regular
447959228,regular
447959229,regular
447959231,regular
447959232,regular
447959234,regular
447959235,regular
447959239,regular
447959241,regular
447959246,regular
447959247,regular
447959248,regular
447959249,regular
447959251,regular
447961974,regular
448219076,regular
448219089,regular
449545328,regular
452944042,regular
453272835,regular
453273011,regular
446001159,regular
446001158,regular
446001157,regular
446001156,regular
445308511,regular
445309814,regular
445309815,regular
445309816,regular
445309817,regular
445314202,regular
445314203,regular
445314204,regular
445314205,regular
445314206,regular
445314207,regular
445314209,regular
445308510,regular
445314210,regular
445365738,regular
445365739,regular
445365740,regular
445365741,regular
445365742,regular
445365743,regular
445365744,regular
445378303,regular
445389349,regular
445391103,regular
445464019,regular
445464020,regular
445365737,regular
445298704,regular
445159955,regular
445116815,regular
444466390,regular
444468392,regular
444468397,regular
444472952,regular
444472953,regular
444650384,regular
444700642,regular
444717357,regular
444752965,regular
444783373,regular
444828126,regular
444828127,regular
445101528,regular
445101529,regular
445101530,regular
445105423,regular
445107939,regular
445107940,regular
445112725,regular
445112726,regular
445112727,regular
445112728,regular
445112729,regular
445112730,regular
445112731,regular
445112733,regular
445116270,regular
445464021,regular
454359566,regular
445464022,regular
445464025,regular
445484820,regular
445484821,regular
445484822,regular
445484823,regular
445484829,regular
445484831,regular
445489095,regular
445489096,regular
445498494,regular
445498496,regular
445502454,regular
445502455,regular
445484819,regular
445502456,regular
445502463,regular
445502468,regular
445502471,regular
445502475,regular
445536704,regular
445536708,regular
445548326,regular
445793399,regular
445793410,regular
446001153,regular
446001154,regular
446001155,regular
445502459,regular
445484818,regular
445484817,regular
445484816,regular
445464029,regular
445464033,regular
445464037,regular
445464045,regular
445464049,regular
445464053,regular
445464056,regular
445464057,regular
445464058,regular
445464059,regular
445464060,regular
445464061,regular
445464062,regular
445468125,regular
445468126,regular
445468127,regular
445468128,regular
445468129,regular
445468131,regular
445468132,regular
445468133,regular
445468134,regular
445476227,regular
445484812,regular
445484813,regular
445484814,regular
445484815,regular
445464024,regular
409025809,regular
542471883,regular
542541713,regular
674967383,regular
674967384,regular
674972920,regular
674972921,regular
674975731,regular
674975734,regular
674975738,regular
675360307,regular
675365442,regular
675365443,regular
675365444,regular
675374214,regular
674967382,regular
675380008,regular
675382407,regular
675382412,regular
675391194,regular
675391199,regular
675432036,regular
675437303,regular
675473492,regular
675473495,regular
675473496,regular
675473498,regular
675473499,regular
675473500,regular
675380011,regular
675478100,regular
674967381,regular
674967379,regular
674301538,regular
674309771,regular
674319963,regular
674362449,regular
674362450,regular
674362451,regular
674362452,regular
674362453,regular
674362454,regular
674514129,regular
674527020,regular
674596015,regular
674967380,regular
674680548,regular
674735722,regular
674746360,regular
674921249,regular
674921250,regular
674930102,regular
674936945,regular
674936946,regular
674938377,regular
674944564,regular
674944565,regular
674944566,regular
674967378,regular
674735721,regular
675584713,regular
675584714,regular
675588644,regular
675761887,regular
675761888,regular
675761889,regular
675761890,regular
675761891,regular
675761892,regular
675761893,regular
675761894,regular
675762879,regular
675795471,regular
675795472,regular
675795473,regular
675761886,regular
675795475,regular
675795477,regular
675797457,regular
675799539,regular
675799542,regular
675830881,regular
675830882,regular
675830883,regular
675830884,regular
675830885,regular
675830886,regular
675830887,regular
675830888,regular
675795476,regular
675761885,regular
675759945,regular
675759944,regular
675588645,regular
675588647,regular
675588648,regular
675588649,regular
675588650,regular
675588653,regular
675588654,regular
675588656,regular
675588657,regular
675588658,regular
675595094,regular
675595095,regular
675595451,regular
675759928,regular
675759929,regular
675759931,regular
675759933,regular
675759934,regular
675759935,regular
675759936,regular
675759937,regular
675759938,regular
675759939,regular
675759940,regular
675759941,regular
675759942,regular
675759943,regular
674275811,regular
675830889,regular
674189947,regular
674124739,regular
668856160,regular
668856235,regular
668856236,regular
668856239,regular
668863769,regular
668863770,regular
668863771,regular
668864184,regular
668864314,regular
668864567,regular
669184387,regular
670055647,regular
668856158,regular
670408185,regular
670587270,regular
670587273,regular
670587274,regular
670770992,regular
670783767,regular
671029386,regular
671029388,regular
671039602,regular
671047429,regular
671047430,regular
671047431,regular
671047432,regular
670587269,regular
671047433,regular
668856154,regular
668854943,regular
668223213,regular
668223218,regular
668223223,regular
668223226,regular
668223228,regular
668223231,regular
668223240,regular
668223241,regular
668223247,regular
668233988,regular
668233995,regular
668233998,regular
668856151,regular
668233999,regular
668252633,regular
668252634,regular
668409083,regular
668409087,regular
668409088,regular
668553614,regular
668853325,regular
668853326,regular
668853654,regular
668853655,regular
668854159,regular
668854937,regular
668234000,regular
671138744,regular
671854838,regular
671854839,regular
672857448,regular
672857449,regular
673227379,regular
673227380,regular
673227382,regular
673229835,regular
673231050,regular
673231051,regular
673231052,regular
673231053,regular
673231054,regular
673231055,regular
672857447,regular
673317976,regular
673319534,regular
673549237,regular
673554702,regular
673556864,regular
673585545,regular
673585547,regular
673624422,regular
673925201,regular
673925202,regular
674021865,regular
674021880,regular
674122081,regular
673319533,regular
672857446,regular
672808490,regular
672808481,regular
671854841,regular
671854845,regular
671854848,regular
671920859,regular
671920860,regular
671920861,regular
671920880,regular
672225128,regular
672225129,regular
672404028,regular
672434449,regular
672434450,regular
672437127,regular
672735442,regular
672735449,regular
672739007,regular
672739008,regular
672739010,regular
672739013,regular
672745289,regular
672792222,regular
672792225,regular
672792226,regular
672792227,regular
672792228,regular
672792229,regular
672808472,regular
674178293,regular
675830890,regular
675830892,regular
675830893,regular
711257942,regular
711257943,regular
711258324,regular
713015823,regular
713015825,regular
713152521,regular
713364365,regular
714031196,regular
714441601,regular
714452135,regular
714453983,regular
714453984,regular
711257941,regular
714453987,regular
714939875,regular
714939876,regular
714943374,regular
715838133,regular
716864155,regular
716864156,regular
716864157,regular
716864158,regular
716864159,regular
716864160,regular
716864161,regular
716864167,regular
714939874,regular
716864168,regular
711257940,regular
711256472,regular
706110557,regular
706112086,regular
706112091,regular
706112092,regular
706122511,regular
706192410,regular
706222653,regular
706299250,regular
706299252,regular
706517573,regular
706517574,regular
706517575,regular
711256473,regular
709361580,regular
709361583,regular
709587939,regular
709587940,regular
711254202,regular
711254203,regular
711254204,regular
711255975,regular
711255990,regular
711255991,regular
711255992,regular
711255994,regular
711255995,regular
709361582,regular
716864171,regular
716912542,regular
717857556,regular
729237222,regular
729237223,regular
729237224,regular
729249287,regular
729253484,regular
729253488,regular
729270797,regular
729271432,regular
729311409,regular
729512597,regular
730307304,regular
730872829,regular
729237216,regular
731166242,regular
731841149,regular
731841152,regular
731841153,regular
731841154,regular
731841155,regular
732266894,regular
733250652,regular
733677460,regular
733677461,regular
733677462,regular
733677463,regular
734528538,regular
731166243,regular
729129662,regular
728172032,regular
727313446,regular
717934655,regular
717934657,regular
720119142,regular
720119144,regular
720119145,regular
722512162,regular
722662352,regular
722749387,regular
722775243,regular
722775244,regular
722775245,regular
724117035,regular
724117036,regular
724117038,regular
724122185,regular
724122186,regular
724122187,regular
724122188,regular
724122189,regular
724122190,regular
724140103,regular
724149412,regular
726971827,regular
727263198,regular
727269327,regular
727277171,regular
727313445,regular
706108778,regular
705696059,regular
705525116,regular
705493097,regular
681547996,regular
681553832,regular
681553834,regular
682800385,regular
682812007,regular
682828694,regular
682828695,regular
682828697,regular
682828699,regular
682828702,regular
682828707,regular
682828708,regular
680961037,regular
682828711,regular
683038904,regular
683038905,regular
683038907,regular
684040684,regular
684040685,regular
684243334,regular
684265509,regular
685797454,regular
688129224,regular
688747047,regular
688809821,regular
689507822,regular
682828712,regular
680894158,regular
680894157,regular
680894152,regular
675830894,regular
675830895,regular
675830896,regular
675830897,regular
675830902,regular
675830903,regular
675830904,regular
675830905,regular
675830906,regular
675830907,regular
675832298,regular
675832299,regular
675832300,regular
675832301,regular
675832302,regular
675926137,regular
675926138,regular
675959327,regular
675959336,regular
675959352,regular
675959354,regular
676293651,regular
679966409,regular
680476225,regular
680477681,regular
680477683,regular
680477684,regular
689507824,regular
668121599,regular
690552718,regular
690951994,regular
699260327,regular
699260328,regular
699390878,regular
699390879,regular
701962507,regular
702302906,regular
702304051,regular
702620353,regular
702687532,regular
702853966,regular
702858818,regular
702865657,regular
699147749,regular
702865658,regular
702865661,regular
703207726,regular
703207727,regular
703369977,regular
703369979,regular
703369980,regular
704463014,regular
704463016,regular
704770076,regular
705376391,regular
705457609,regular
705493096,regular
702865660,regular
699131866,regular
699131865,regular
699131864,regular
691165771,regular
691242254,regular
691242255,regular
691535652,regular
692301713,regular
692301714,regular
692401227,regular
692488322,regular
692488323,regular
692488325,regular
692488326,regular
692849745,regular
693764882,regular
693822159,regular
694202701,regular
694277225,regular
694341866,regular
694347321,regular
694347322,regular
695868391,regular
695868413,regular
696175652,regular
696175653,regular
696175655,regular
696742487,regular
697157231,regular
698318092,regular
690786755,regular
542471884,regular
667781250,regular
667781242,regular
580614109,regular
580685079,regular
581375865,regular
581384972,regular
581384977,regular
583589548,regular
583589549,regular
583589550,regular
583780496,regular
583797308,regular
584463328,regular
584465050,regular
580601981,regular
584707527,regular
584707530,regular
584707531,regular
584707534,regular
584712116,regular
584712117,regular
584808053,regular
584808055,regular
584808056,regular
584808057,regular
584808064,regular
584808066,regular
584808067,regular
584707529,regular
584808068,regular
